Poet writer,Poet Name
کوہ کن ہو کہ قیس ہو کہ فرازؔ ; سب میں اک شخص ہی ملا ہے مجھے,احمد فراز
ابھی کچھ اور کرشمے غزل کے دیکھتے ہیں ; فرازؔ اب ذرا لہجہ بدل کے دیکھتے ہیں,احمد فراز
جدائیاں تو مقدر ہیں پھر بھی جان سفر ; کچھ اور دور ذرا ساتھ چل کے دیکھتے ہیں,احمد فراز
رہ وفا میں حریف خرام کوئی تو ہو ; سو اپنے آپ سے آگے نکل کے دیکھتے ہیں,احمد فراز
تو سامنے ہے تو پھر کیوں یقیں نہیں آتا ; یہ بار بار جو آنکھوں کو مل کے دیکھتے ہیں,احمد فراز
یہ کون لوگ ہیں موجود تیری محفل میں ; جو لالچوں سے تجھے مجھ کو جل کے دیکھتے ہیں,احمد فراز
یہ قرب کیا ہے کہ یک جاں ہوئے نہ دور رہے ; ہزار ایک ہی قالب میں ڈھل کے دیکھتے ہیں,احمد فراز
نہ تجھ کو مات ہوئی ہے نہ مجھ کو مات ہوئی ; سو اب کے دونوں ہی چالیں بدل کے دیکھتے ہیں,احمد فراز
یہ کون ہے سر ساحل کہ ڈوبنے والے ; سمندروں کی تہوں سے اچھل کے دیکھتے ہیں,احمد فراز
ابھی تلک تو نہ کندن ہوئے نہ راکھ ہوئے ; ہم اپنی آگ میں ہر روز جل کے دیکھتے ہیں,احمد فراز
بہت دنوں سے نہیں ہے کچھ اس کی خیر خبر ; چلو فرازؔ کو اے یار چل کے دیکھتے ہیں,احمد فراز
سلسلے توڑ گیا وہ سبھی جاتے جاتے ; ورنہ اتنے تو مراسم تھے کہ آتے جاتے,احمد فراز
شکوۂ ظلمت شب سے تو کہیں بہتر تھا ; اپنے حصے کی کوئی شمع جلاتے جاتے,احمد فراز
کتنا آساں تھا ترے ہجر میں مرنا جاناں ; پھر بھی اک عمر لگی جان سے جاتے جاتے,احمد فراز
جشن مقتل ہی نہ برپا ہوا ورنہ ہم بھی ; پا بجولاں ہی سہی ناچتے گاتے جاتے,احمد فراز
اس کی وہ جانے اسے پاس وفا تھا کہ نہ تھا ; تم فرازؔ اپنی طرف سے تو نبھاتے جاتے,احمد فراز
دوست بن کر بھی نہیں ساتھ نبھانے والا ; وہی انداز ہے ظالم کا زمانے والا,احمد فراز
اب اسے لوگ سمجھتے ہیں گرفتار مرا ; سخت نادم ہے مجھے دام میں لانے والا,احمد فراز
صبح دم چھوڑ گیا نکہت گل کی صورت ; رات کو غنچۂ دل میں سمٹ آنے والا,احمد فراز
کیا کہیں کتنے مراسم تھے ہمارے اس سے ; وہ جو اک شخص ہے منہ پھیر کے جانے والا,احمد فراز
تیرے ہوتے ہوئے آ جاتی تھی ساری دنیا ; آج تنہا ہوں تو کوئی نہیں آنے والا,احمد فراز
منتظر کس کا ہوں ٹوٹی ہوئی دہلیز پہ میں ; کون آئے گا یہاں کون ہے آنے والا,احمد فراز
کیا خبر تھی جو مری جاں میں گھلا ہے اتنا ; ہے وہی مجھ کو سر دار بھی لانے والا,احمد فراز
میں نے دیکھا ہے بہاروں میں چمن کو جلتے ; ہے کوئی خواب کی تعبیر بتانے والا,احمد فراز
تم تکلف کو بھی اخلاص سمجھتے ہو فرازؔ ; دوست ہوتا نہیں ہر ہاتھ ملانے والا,احمد فراز
قربت بھی نہیں دل سے اتر بھی نہیں جاتا ; وہ شخص کوئی فیصلہ کر بھی نہیں جاتا,احمد فراز
آنکھیں ہیں کہ خالی نہیں رہتی ہیں لہو سے ; اور زخم جدائی ہے کہ بھر بھی نہیں جاتا,احمد فراز
وہ راحت جاں ہے مگر اس در بدری میں ; ایسا ہے کہ اب دھیان ادھر بھی نہیں جاتا,احمد فراز
ہم دوہری اذیت کے گرفتار مسافر ; پاؤں بھی ہیں شل شوق سفر بھی نہیں جاتا,احمد فراز
دل کو تری چاہت پہ بھروسہ بھی بہت ہے ; اور تجھ سے بچھڑ جانے کا ڈر بھی نہیں جاتا,احمد فراز
پاگل ہوئے جاتے ہو فرازؔ اس سے ملے کیا ; اتنی سی خوشی سے کوئی مر بھی نہیں جاتا,احمد فراز
عاشقی میں میرؔ جیسے خواب مت دیکھا کرو ; باؤلے ہو جاؤ گے مہتاب مت دیکھا کرو,احمد فراز
جستہ جستہ پڑھ لیا کرنا مضامین وفا ; پر کتاب عشق کا ہر باب مت دیکھا کرو,احمد فراز
اس تماشے میں الٹ جاتی ہیں اکثر کشتیاں ; ڈوبنے والوں کو زیر آب مت دیکھا کرو,احمد فراز
مے کدے میں کیا تکلف مے کشی میں کیا حجاب ; بزم ساقی میں ادب آداب مت دیکھا کرو,احمد فراز
ہم سے درویشوں کے گھر آؤ تو یاروں کی طرح ; ہر جگہ خس خانہ و برفاب مت دیکھا کرو,احمد فراز
مانگے تانگے کی قبائیں دیر تک رہتی نہیں ; یار لوگوں کے لقب القاب مت دیکھا کرو,احمد فراز
تشنگی میں لب بھگو لینا بھی کافی ہے فرازؔ ; جام میں صہبا ہے یا زہراب مت دیکھا کرو,احمد فراز
اس کو جدا ہوئے بھی زمانہ بہت ہوا ; اب کیا کہیں یہ قصہ پرانا بہت ہوا,احمد فراز
ڈھلتی نہ تھی کسی بھی جتن سے شب فراق ; اے مرگ ناگہاں ترا آنا بہت ہوا,احمد فراز
ہم خلد سے نکل تو گئے ہیں پر اے خدا ; اتنے سے واقعے کا فسانہ بہت ہوا,احمد فراز
اب ہم ہیں اور سارے زمانے کی دشمنی ; اس سے ذرا سا ربط بڑھانا بہت ہوا,احمد فراز
اب کیوں نہ زندگی پہ محبت کو وار دیں ; اس عاشقی میں جان سے جانا بہت ہوا,احمد فراز
اب تک تو دل کا دل سے تعارف نہ ہو سکا ; مانا کہ اس سے ملنا ملانا بہت ہوا,احمد فراز
کیا کیا نہ ہم خراب ہوئے ہیں مگر یہ دل ; اے یاد یار تیرا ٹھکانہ بہت ہوا,احمد فراز
کہتا تھا ناصحوں سے مرے منہ نہ آئیو ; پھر کیا تھا ایک ہو کا بہانہ بہت ہوا,احمد فراز
لو پھر ترے لبوں پہ اسی بے وفا کا ذکر ; احمد فرازؔ تجھ سے کہا نا بہت ہوا,احمد فراز
اب کے تجدید وفا کا نہیں امکاں جاناں ; یاد کیا تجھ کو دلائیں ترا پیماں جاناں,احمد فراز
یوں ہی موسم کی ادا دیکھ کے یاد آیا ہے ; کس قدر جلد بدل جاتے ہیں انساں جاناں,احمد فراز
زندگی تیری عطا تھی سو ترے نام کی ہے ; ہم نے جیسے بھی بسر کی ترا احساں جاناں,احمد فراز
دل یہ کہتا ہے کہ شاید ہے فسردہ تو بھی ; دل کی کیا بات کریں دل تو ہے ناداں جاناں,احمد فراز
اول اول کی محبت کے نشے یاد تو کر ; بے پیے بھی ترا چہرہ تھا گلستاں جاناں,احمد فراز
آخر آخر تو یہ عالم ہے کہ اب ہوش نہیں ; رگ مینا سلگ اٹھی کہ رگ جاں جاناں,احمد فراز
مدتوں سے یہی عالم نہ توقع نہ امید ; دل پکارے ہی چلا جاتا ہے جاناں جاناں,احمد فراز
ہم بھی کیا سادہ تھے ہم نے بھی سمجھ رکھا تھا ; غم دوراں سے جدا ہے غم جاناں جاناں,احمد فراز
اب کے کچھ ایسی سجی محفل یاراں جاناں ; سر بہ زانو ہے کوئی سر بہ گریباں جاناں,احمد فراز
ہر کوئی اپنی ہی آواز سے کانپ اٹھتا ہے ; ہر کوئی اپنے ہی سائے سے ہراساں جاناں,احمد فراز
جس کو دیکھو وہی زنجیر بہ پا لگتا ہے ; شہر کا شہر ہوا داخل زنداں جاناں,احمد فراز
اب ترا ذکر بھی شاید ہی غزل میں آئے ; اور سے اور ہوئے درد کے عنواں جاناں,احمد فراز
ہم کہ روٹھی ہوئی رت کو بھی منا لیتے تھے ; ہم نے دیکھا ہی نہ تھا موسم ہجراں جاناں,احمد فراز
ہوش آیا تو سبھی خواب تھے ریزہ ریزہ ; جیسے اڑتے ہوئے اوراق پریشاں جاناں,احمد فراز
ہر کوئی دل کی ہتھیلی پہ ہے صحرا رکھے ; کس کو سیراب کرے وہ کسے پیاسا رکھے,احمد فراز
عمر بھر کون نبھاتا ہے تعلق اتنا ; اے مری جان کے دشمن تجھے اللہ رکھے,احمد فراز
ہم کو اچھا نہیں لگتا کوئی ہم نام ترا ; کوئی تجھ سا ہو تو پھر نام بھی تجھ سا رکھے,احمد فراز
دل بھی پاگل ہے کہ اس شخص سے وابستہ ہے ; جو کسی اور کا ہونے دے نہ اپنا رکھے,احمد فراز
کم نہیں طمع عبادت بھی تو حرص زر سے ; فقر تو وہ ہے کہ جو دین نہ دنیا رکھے,احمد فراز
ہنس نہ اتنا بھی فقیروں کے اکیلے پن پر ; جا خدا میری طرح تجھ کو بھی تنہا رکھے,احمد فراز
یہ قناعت ہے اطاعت ہے کہ چاہت ہے فرازؔ ; ہم تو راضی ہیں وہ جس حال میں جیسا رکھے,احمد فراز
اب اور کیا کسی سے مراسم بڑھائیں ہم ; یہ بھی بہت ہے تجھ کو اگر بھول جائیں ہم,احمد فراز
صحرائے زندگی میں کوئی دوسرا نہ تھا ; سنتے رہے ہیں آپ ہی اپنی صدائیں ہم,احمد فراز
اس زندگی میں اتنی فراغت کسے نصیب ; اتنا نہ یاد آ کہ تجھے بھول جائیں ہم,احمد فراز
تو اتنی دل زدہ تو نہ تھی اے شب فراق ; آ تیرے راستے میں ستارے لٹائیں ہم,احمد فراز
وہ لوگ اب کہاں ہیں جو کہتے تھے کل فرازؔ ; ہے ہے خدا نہ کردہ تجھے بھی رلائیں ہم,احمد فراز
اس نے سکوت شب میں بھی اپنا پیام رکھ دیا ; ہجر کی رات بام پر ماہ تمام رکھ دیا,احمد فراز
آمد دوست کی نوید کوئے وفا میں عام تھی ; میں نے بھی اک چراغ سا دل سر شام رکھ دیا,احمد فراز
شدت تشنگی میں بھی غیرت مے کشی رہی ; اس نے جو پھیر لی نظر میں نے بھی جام رکھ دیا,احمد فراز
اس نے نظر نظر میں ہی ایسے بھلے سخن کہے ; میں نے تو اس کے پاؤں میں سارا کلام رکھ دیا,احمد فراز
دیکھو یہ میرے خواب تھے دیکھو یہ میرے زخم ہیں ; میں نے تو سب حساب جاں بر سر عام رکھ دیا,احمد فراز
اب کے بہار نے بھی کیں ایسی شرارتیں کہ بس ; کبک دری کی چال میں تیرا خرام رکھ دیا,احمد فراز
جو بھی ملا اسی کا دل حلقہ بگوش یار تھا ; اس نے تو سارے شہر کو کر کے غلام رکھ دیا,احمد فراز
اور فرازؔ چاہئیں کتنی محبتیں تجھے ; ماؤں نے تیرے نام پر بچوں کا نام رکھ دیا,احمد فراز
دکھ فسانہ نہیں کہ تجھ سے کہیں ; دل بھی مانا نہیں کہ تجھ سے کہیں,احمد فراز
آج تک اپنی بیکلی کا سبب ; خود بھی جانا نہیں کہ تجھ سے کہیں,احمد فراز
بے طرح حال دل ہے اور تجھ سے ; دوستانہ نہیں کہ تجھ سے کہیں,احمد فراز
ایک تو حرف آشنا تھا مگر ; اب زمانہ نہیں کہ تجھ سے کہیں,احمد فراز
قاصدا ہم فقیر لوگوں کا ; اک ٹھکانہ نہیں کہ تجھ سے کہیں,احمد فراز
اے خدا درد دل ہے بخشش دوست ; آب و دانہ نہیں کہ تجھ سے کہیں,احمد فراز
اب تو اپنا بھی اس گلی میں فرازؔ ; آنا جانا نہیں کہ تجھ سے کہیں,احمد فراز
جس سمت بھی دیکھوں نظر آتا ہے کہ تم ہو ; اے جان جہاں یہ کوئی تم سا ہے کہ تم ہو,احمد فراز
یہ خواب ہے خوشبو ہے کہ جھونکا ہے کہ پل ہے ; یہ دھند ہے بادل ہے کہ سایا ہے کہ تم ہو,احمد فراز
اس دید کی ساعت میں کئی رنگ ہیں لرزاں ; میں ہوں کہ کوئی اور ہے دنیا ہے کہ تم ہو,احمد فراز
دیکھو یہ کسی اور کی آنکھیں ہیں کہ میری ; دیکھوں یہ کسی اور کا چہرہ ہے کہ تم ہو,احمد فراز
یہ عمر گریزاں کہیں ٹھہرے تو یہ جانوں ; ہر سانس میں مجھ کو یہی لگتا ہے کہ تم ہو,احمد فراز
ہر بزم میں موضوع سخن دل زدگاں کا ; اب کون ہے شیریں ہے کہ لیلیٰ ہے کہ تم ہو,احمد فراز
اک درد کا پھیلا ہوا صحرا ہے کہ میں ہوں ; اک موج میں آیا ہوا دریا ہے کہ تم ہو,احمد فراز
وہ وقت نہ آئے کہ دل زار بھی سوچے ; اس شہر میں تنہا کوئی ہم سا ہے کہ تم ہو,احمد فراز
آباد ہم آشفتہ سروں سے نہیں مقتل ; یہ رسم ابھی شہر میں زندہ ہے کہ تم ہو,احمد فراز
اے جان فرازؔ اتنی بھی توفیق کسے تھی ; ہم کو غم ہستی بھی گوارا ہے کہ تم ہو,احمد فراز
سامنے اس کے کبھی اس کی ستائش نہیں کی ; دل نے چاہا بھی اگر ہونٹوں نے جنبش نہیں کی,احمد فراز
اہل محفل پہ کب احوال کھلا ہے اپنا ; میں بھی خاموش رہا اس نے بھی پرسش نہیں کی,احمد فراز
جس قدر اس سے تعلق تھا چلا جاتا ہے ; اس کا کیا رنج ہو جس کی کبھی خواہش نہیں کی,احمد فراز
یہ بھی کیا کم ہے کہ دونوں کا بھرم قائم ہے ; اس نے بخشش نہیں کی ہم نے گزارش نہیں کی,احمد فراز
اک تو ہم کو ادب آداب نے پیاسا رکھا ; اس پہ محفل میں صراحی نے بھی گردش نہیں کی,احمد فراز
ہم کہ دکھ اوڑھ کے خلوت میں پڑے رہتے ہیں ; ہم نے بازار میں زخموں کی نمائش نہیں کی,احمد فراز
اے مرے ابر کرم دیکھ یہ ویرانۂ جاں ; کیا کسی دشت پہ تو نے کبھی بارش نہیں کی,احمد فراز
کٹ مرے اپنے قبیلے کی حفاظت کے لیے ; مقتل شہر میں ٹھہرے رہے جنبش نہیں کی,احمد فراز
وہ ہمیں بھول گیا ہو تو عجب کیا ہے فرازؔ ; ہم نے بھی میل ملاقات کی کوشش نہیں کی,احمد فراز
گفتگو اچھی لگی ذوق نظر اچھا لگا ; مدتوں کے بعد کوئی ہم سفر اچھا لگا,احمد فراز
دل کا دکھ جانا تو دل کا مسئلہ ہے پر ہمیں ; اس کا ہنس دینا ہمارے حال پر اچھا لگا,احمد فراز
ہر طرح کی بے سر و سامانیوں کے باوجود ; آج وہ آیا تو مجھ کو اپنا گھر اچھا لگا,احمد فراز
باغباں گلچیں کو چاہے جو کہے ہم کو تو پھول ; شاخ سے بڑھ کر کف دل دار پر اچھا لگا,احمد فراز
کوئی مقتل میں نہ پہنچا کون ظالم تھا جسے ; تیغ قاتل سے زیادہ اپنا سر اچھا لگا,احمد فراز
ہم بھی قائل ہیں وفا میں استواری کے مگر ; کوئی پوچھے کون کس کو عمر بھر اچھا لگا,احمد فراز
اپنی اپنی چاہتیں ہیں لوگ اب جو بھی کہیں ; اک پری پیکر کو اک آشفتہ سر اچھا لگا,احمد فراز
میرؔ کے مانند اکثر زیست کرتا تھا فرازؔ ; تھا تو وہ دیوانہ سا شاعر مگر اچھا لگا,احمد فراز
کروں نہ یاد مگر کس طرح بھلاؤں اسے ; غزل بہانہ کروں اور گنگناؤں اسے,احمد فراز
وہ خار خار ہے شاخ گلاب کی مانند ; میں زخم زخم ہوں پھر بھی گلے لگاؤں اسے,احمد فراز
یہ لوگ تذکرے کرتے ہیں اپنے لوگوں کے ; میں کیسے بات کروں اب کہاں سے لاؤں اسے,احمد فراز
مگر وہ زود فراموش زود رنج بھی ہے ; کہ روٹھ جائے اگر یاد کچھ دلاؤں اسے,احمد فراز
وہی جو دولت دل ہے وہی جو راحت جاں ; تمہاری بات پہ اے ناصحو گنواؤں اسے,احمد فراز
جو ہم سفر سر منزل بچھڑ رہا ہے فرازؔ ; عجب نہیں ہے اگر یاد بھی نہ آؤں اسے,احمد فراز
روگ ایسے بھی غم یار سے لگ جاتے ہیں ; در سے اٹھتے ہیں تو دیوار سے لگ جاتے ہیں,احمد فراز
عشق آغاز میں ہلکی سی خلش رکھتا ہے ; بعد میں سیکڑوں آزار سے لگ جاتے ہیں,احمد فراز
پہلے پہلے ہوس اک آدھ دکاں کھولتی ہے ; پھر تو بازار کے بازار سے لگ جاتے ہیں,احمد فراز
بے بسی بھی کبھی قربت کا سبب بنتی ہے ; رو نہ پائیں تو گلے یار سے لگ جاتے ہیں,احمد فراز
کترنیں غم کی جو گلیوں میں اڑی پھرتی ہیں ; گھر میں لے آؤ تو انبار سے لگ جاتے ہیں,احمد فراز
داغ دامن کے ہوں دل کے ہوں کہ چہرے کے فرازؔ ; کچھ نشاں عمر کی رفتار سے لگ جاتے ہیں,احمد فراز
تیری باتیں ہی سنانے آئے ; دوست بھی دل ہی دکھانے آئے,احمد فراز
پھول کھلتے ہیں تو ہم سوچتے ہیں ; تیرے آنے کے زمانے آئے,احمد فراز
ایسی کچھ چپ سی لگی ہے جیسے ; ہم تجھے حال سنانے آئے,احمد فراز
عشق تنہا ہے سر منزل غم ; کون یہ بوجھ اٹھانے آئے,احمد فراز
اجنبی دوست ہمیں دیکھ کہ ہم ; کچھ تجھے یاد دلانے آئے,احمد فراز
دل دھڑکتا ہے سفر کے ہنگام ; کاش پھر کوئی بلانے آئے,احمد فراز
اب تو رونے سے بھی دل دکھتا ہے ; شاید اب ہوش ٹھکانے آئے,احمد فراز
کیا کہیں پھر کوئی بستی اجڑی ; لوگ کیوں جشن منانے آئے,احمد فراز
سو رہو موت کے پہلو میں فرازؔ ; نیند کس وقت نہ جانے آئے,احمد فراز
ایسا ہے کہ سب خواب مسلسل نہیں ہوتے ; جو آج تو ہوتے ہیں مگر کل نہیں ہوتے,احمد فراز
اندر کی فضاؤں کے کرشمے بھی عجب ہیں ; مینہ ٹوٹ کے برسے بھی تو بادل نہیں ہوتے,احمد فراز
کچھ مشکلیں ایسی ہیں کہ آساں نہیں ہوتیں ; کچھ ایسے معمے ہیں کبھی حل نہیں ہوتے,احمد فراز
شائستگیٔ غم کے سبب آنکھوں کے صحرا ; نمناک تو ہو جاتے ہیں جل تھل نہیں ہوتے,احمد فراز
کیسے ہی تلاطم ہوں مگر قلزم جاں میں ; کچھ یاد جزیرے ہیں کہ اوجھل نہیں ہوتے,احمد فراز
عشاق کے مانند کئی اہل ہوس بھی ; پاگل تو نظر آتے ہیں پاگل نہیں ہوتے,احمد فراز
سب خواہشیں پوری ہوں فرازؔ ایسا نہیں ہے ; جیسے کئی اشعار مکمل نہیں ہوتے,احمد فراز
قربتوں میں بھی جدائی کے زمانے مانگے ; دل وہ بے مہر کہ رونے کے بہانے مانگے,احمد فراز
ہم نہ ہوتے تو کسی اور کے چرچے ہوتے ; خلقت شہر تو کہنے کو فسانے مانگے,احمد فراز
یہی دل تھا کہ ترستا تھا مراسم کے لیے ; اب یہی ترک تعلق کے بہانے مانگے,احمد فراز
اپنا یہ حال کہ جی ہار چکے لٹ بھی چکے ; اور محبت وہی انداز پرانے مانگے,احمد فراز
زندگی ہم ترے داغوں سے رہے شرمندہ ; اور تو ہے کہ سدا آئینہ خانے مانگے,احمد فراز
دل کسی حال پہ قانع ہی نہیں جان فرازؔ ; مل گئے تم بھی تو کیا اور نہ جانے مانگے,احمد فراز
اگرچہ زور ہواؤں نے ڈال رکھا ہے ; مگر چراغ نے لو کو سنبھال رکھا ہے,احمد فراز
محبتوں میں تو ملنا ہے یا اجڑ جانا ; مزاج عشق میں کب اعتدال رکھا ہے,احمد فراز
ہوا میں نشہ ہی نشہ فضا میں رنگ ہی رنگ ; یہ کس نے پیرہن اپنا اچھال رکھا ہے,احمد فراز
بھلے دنوں کا بھروسا ہی کیا رہیں نہ رہیں ; سو میں نے رشتۂ غم کو بحال رکھا ہے,احمد فراز
ہم ایسے سادہ دلوں کو وہ دوست ہو کہ خدا ; سبھی نے وعدۂ فردا پہ ٹال رکھا ہے,احمد فراز
حساب لطف حریفاں کیا ہے جب تو کھلا ; کہ دوستوں نے زیادہ خیال رکھا ہے,احمد فراز
بھری بہار میں اک شاخ پر کھلا ہے گلاب ; کہ جیسے تو نے ہتھیلی پہ گال رکھا ہے,احمد فراز
فرازؔ عشق کی دنیا تو خوبصورت تھی ; یہ کس نے فتنۂ ہجر و وصال رکھا ہے,احمد فراز
شعلہ تھا جل بجھا ہوں ہوائیں مجھے نہ دو ; میں کب کا جا چکا ہوں صدائیں مجھے نہ دو,احمد فراز
جو زہر پی چکا ہوں تمہیں نے مجھے دیا ; اب تم تو زندگی کی دعائیں مجھے نہ دو,احمد فراز
یہ بھی بڑا کرم ہے سلامت ہے جسم ابھی ; اے خسروان شہر قبائیں مجھے نہ دو,احمد فراز
ایسا نہ ہو کبھی کہ پلٹ کر نہ آ سکوں ; ہر بار دور جا کے صدائیں مجھے نہ دو,احمد فراز
کب مجھ کو اعتراف محبت نہ تھا فرازؔ ; کب میں نے یہ کہا ہے سزائیں مجھے نہ دو,احمد فراز
کٹھن ہے راہ گزر تھوڑی دور ساتھ چلو ; بہت کڑا ہے سفر تھوڑی دور ساتھ چلو,احمد فراز
تمام عمر کہاں کوئی ساتھ دیتا ہے ; یہ جانتا ہوں مگر تھوڑی دور ساتھ چلو,احمد فراز
